Game,Year,Winning team,Score,Losing team,Venue
I,1967,Green Bay Packers 01 ,35–10,Kansas City Chiefs 01 ,Los Angeles Memorial Coliseum 01 
II,1968,Green Bay Packers 02 ,33–14,Oakland Raiders 01 ,Miami Orange Bowl 01 
III,1969,New York Jets 01 ,16–7 ,Indianapolis Colts 01 ,Miami Orange Bowl 02 
IV,1970,Kansas City Chiefs 02 ,23–7 ,Minnesota Vikings 01 ,Tulane Stadium 01 
V,1971,Indianapolis Colts 02 ,16–13 ,Dallas Cowboys 01 ,Miami Orange Bowl 03 
VI,1972,Dallas Cowboys 02 ,24–3 ,Miami Dolphins 01 ,Tulane Stadium 02 
VII,1973,Miami Dolphins 02 ,14–7 ,Washington Redskins 01 ,Los Angeles Memorial Coliseum 02 
VIII,1974,Miami Dolphins 03 ,24–7 ,Minnesota Vikings 02 ,Rice Stadium 01 
IX,1975,Pittsburgh Steelers 01 ,16–6 ,Minnesota Vikings 03 ,Tulane Stadium 03 
X,1976,Pittsburgh Steelers 02 ,21–17,Dallas Cowboys 03 ,Miami Orange Bowl 04 
XI,1977,Oakland Raiders 02 ,32–14,Minnesota Vikings 04 ,Rose Bowl 01 
XII,1978,Dallas Cowboys 04 ,27–10,Denver Broncos 01 ,Louisiana Superdome 01 
XIII,1979,Pittsburgh Steelers 03 ,35–31,Dallas Cowboys 05 ,Miami Orange Bowl 05 
XIV,1980,Pittsburgh Steelers 04 ,31–19,Los Angeles Rams 01 ,Rose Bowl 02 
XV,1981,Oakland Raiders 03 ,27–10,Philadelphia Eagles 01 ,Louisiana Superdome 02 
XVI,1982,San Francisco 49ers 01 ,26–21,Cincinnati Bengals 01 ,Pontiac Silverdome 01 
XVII,1983,Washington Redskins 02 ,27–17,Miami Dolphins 04 ,Rose Bowl 03 
XVIII,1984,Oakland Raiders 04 ,38–9 ,Washington Redskins 03 ,Tampa Stadium 01 
XIX,1985,San Francisco 49ers 02 ,38–16,Miami Dolphins 05 ,Stanford Stadium 01 
XX,1986,Chicago Bears 01 ,46–10,New England Patriots 01 ,Louisiana Superdome 03 
XXI,1987,New York Giants 01 ,39–20,Denver Broncos 02 ,Rose Bowl 04 
XXII,1988,Washington Redskins 04 ,42–10,Denver Broncos 03 ,Qualcomm Stadium 01 
XXIII,1989,San Francisco 49ers 03 ,20–16,Cincinnati Bengals 02 ,Hard Rock Stadium 01 
XXIV,1990,San Francisco 49ers 04 ,55–10,Denver Broncos 04 ,Louisiana Superdome 04 
XXV,1991,New York Giants 02 ,20–19,Buffalo Bills 01 ,Tampa Stadium 02 
XXVI,1992,Washington Redskins 05 ,37–24,Buffalo Bills 02 ,Metrodome 01 
XXVII,1993,Dallas Cowboys 06 ,52–17,Buffalo Bills 03 ,Rose Bowl 05 
XXVIII,1994,Dallas Cowboys 07 ,30–13,Buffalo Bills 04 ,Georgia Dome 01 
XXIX,1995,San Francisco 49ers 05 ,49–26,San Diego Chargers 01 ,Hard Rock Stadium 02 
XXX,1996,Dallas Cowboys 08 ,27–17,Pittsburgh Steelers 05 ,Sun Devil Stadium 01 
XXXI,1997,Green Bay Packers 03 ,35–21,New England Patriots 02 ,Louisiana Superdome 05 
XXXII,1998,Denver Broncos 05 ,31–24,Green Bay Packers 04 ,Qualcomm Stadium 02 
XXXIII,1999,Denver Broncos 06 ,34–19,Atlanta Falcons 01 ,Hard Rock Stadium 03 
XXXIV,2000,Los Angeles Rams 02 ,23–16,Tennessee Titans 01 ,Georgia Dome 02 
XXXV,2001,Baltimore Ravens 01 ,34–7 ,New York Giants 03 ,Raymond James Stadium 01 
XXXVI,2002,New England Patriots 03 ,20–17,Los Angeles Rams 03 ,Louisiana Superdome 06 
XXXVII,2003,Tampa Bay Buccaneers 01 ,48–21,Oakland Raiders 05 ,Qualcomm Stadium 03 
XXXVIII,2004,New England Patriots 04 ,32–29,Carolina Panthers 01 ,NRG Stadium 01 
XXXIX,2005,New England Patriots 05 ,24–21,Philadelphia Eagles 02 ,ALLTEL Stadium 01 
XL,2006,Pittsburgh Steelers 06 ,21–10,Seattle Seahawks 01 ,Ford Field 01 
XLI,2007,Indianapolis Colts 03 ,29–17,Chicago Bears 02 ,Hard Rock Stadium 04 
XLII,2008,New York Giants 04 ,17–14,New England Patriots 06 ,University of Phoenix Stadium 01 
XLIII,2009,Pittsburgh Steelers 07 ,27–23,Arizona Cardinals 01 ,Raymond James Stadium 02 
XLIV,2010,New Orleans Saints 01 ,31–17,Indianapolis Colts 04 ,Hard Rock Stadium 05 
XLV,2011,Green Bay Packers 05 ,31–25,Pittsburgh Steelers 08 ,Cowboys Stadium 01 
XLVI,2012,New York Giants 05 ,21–17,New England Patriots 07 ,Lucas Oil Stadium 01 
XLVII,2013,Baltimore Ravens 02 ,34–31,San Francisco 49ers 06 ,Louisiana Superdome 07 
XLVIII,2014,Seattle Seahawks 02 ,43–8,Denver Broncos 07 ,MetLife Stadium 01 
XLIX,2015,New England Patriots 08 ,28–24,Seattle Seahawks 03 ,University of Phoenix Stadium 02 
50,2016,Denver Broncos 08 ,24–10,Carolina Panthers 02 ,Levi's Stadium 01 
LI,2017,New England Patriots 09 ,34–28 (OT),Atlanta Falcons 02 ,NRG Stadium 02 
LII,2018,Philadelphia Eagles 03 ,41–33,New England Patriots 10 ,U.S. Bank Stadium 01 
